,ZaggSC,TANGO
ARHGAP22,0.26,2.71
ARHGAP23,1.83,3.15
ARHGAP24,1.19,3.05
ARHGAP25,3.78,1.03
ARHGAP26,—,1.69
ARHGAP27,-0.64,3.18
ARHGAP28,-0.97,3.09
ARHGAP29,-1.39,3.52
ARHGAP30,-0.27,3.58
ARHGAP31,1.84,3.54
ARHGAP32,-0.85,3.39
ARHGAP33,1.86,2.96
ARHGAP35,1.68,3.19
ARHGAP36,1.07,2.95
ARHGAP39,1.05,2.21
ARHGAP4,-0.57,3.2
ARHGAP40,-2.58,3.64
ARHGAP42,2.21,3.16
ARHGAP44,0.97,2.99
ARHGAP45,0.19,1.89
ARHGAP5,-0.37,3.22
ARHGAP5-AS1,-1.77,3.57
ARHGAP6,-1.44,3.23
ARHGAP8,-0.58,2.53
ARHGAP9,-0.6,3.07
ARHGDIA,-0.75,3.07
ARHGDIB,—,2.85
ARHGDIG,2.44,—
ARHGEF1,1.57,2.57
ARHGEF10,3.01,2.8
ARHGEF10L,-0.37,3.07
ARHGEF11,-0.2,4
ARHGEF12,-0.82,2.98
ARHGEF15,-0.46,3.03
ARHGEF16,-1.34,3.06
ARHGEF17,-1.08,2.93
ARHGEF18,-1.85,3.34
ARHGEF19,1.85,3.05
ARHGEF2,0.82,3.28
ARHGEF25,-1.58,3.03
ARHGEF26,-0.39,3.09
ARHGEF28,0.04,3.08
ARHGEF3,—,3.4
ARHGEF33,-0.81,3.27
ARHGEF35,1.67,3.39
ARHGEF37,-0.09,3.07
ARHGEF38,-2.93,3.9
ARHGEF39,2.68,3.07
ARHGEF4,-1.28,3.26
ARHGEF40,0.08,3.26
ARHGEF5,1.05,3.09
ARHGEF6,-0.53,3.16
ARHGEF7,2.13,3.07
ARHGEF9,1.04,3.34
ARID1A,0.51,2.83
ARID1B,0.21,3.34
ARID2,-2.3,3.67
ARID3A,0.89,2.7
ARID3B,0.43,2.75
ARID3C,-1.23,3
ARID4A,-1.04,3.09
ARID4B,0.58,0.33
ARID5A,1.06,2.35
ARID5B,-1.35,2.13
ARIH1,0.25,2.69
ARIH2,-0.38,3.23
ARIH2OS,1.08,3.34
ARL1,-3.61,3.67
ARL10,-2.65,3.72
ARL11,-3.23,3.83
ARL13A,0.44,3.75
ARL13B,0.92,3.56
ARL14,-2.73,3.84
ARL14EP,-2.22,4.02
ARL14EPL,0.98,3.53
ARL15,-3.24,3.87
ARL16,-2.82,3.83
ARL17A,-3.37,3.76
ARL17B,-3.46,3.73
ARL2,-3.2,3.88
ARL2BP,-1.65,3.15
ARL3,-0.18,3.76
ARL4A,0.69,3.11
ARL4C,1.84,3.26
ARL4D,1.56,2.89
ARL5A,-1.2,2.3
ARL5B,-1.87,3.68
ARL5C,—,0.49
ARL6,-1.1,3.63
ARL6IP1,-1.61,3.13
ARL6IP4,-1.32,3.19
ARL6IP5,-1.27,3.62
ARL6IP6,-0.26,2.97
ARL8A,-0.24,3.44
ARL8B,-1.56,3.34
ARL9,0.27,3.71
ARMC1,-0.03,3.08
ARMC10,-0.44,3.54
ARMC12,-1.1,2.9
ARMC2,-0.07,3.23
ARMC3,-0.34,2.9
ARMC5,-0.27,3.21
ARMC6,-0.15,2.66
ARMC7,0.88,2.37
ARMC8,1.65,3.38
ARMC9,-0.28,3.63
ARMCX1,1.12,2.88
ARMCX2,1.06,3.07
ARMCX3,0.83,3.21
ARMCX4,0.72,2.94
ARMCX5,-0.43,3.02
ARMCX6,0.54,2.93
ARMH1,-0.51,3.19
ARMH2,-0.38,3.18
ARMH3,-1.25,3.24
ARMH4,-0.22,3.25
ARMS2,-1.13,3.08
ARMT1,1.49,3.14
ARNT,1.05,3.55
ARNT2,1.31,3.39
ARNTL,3.94,2.45
ARNTL2,1.57,1.85
ARPC1A,-1.55,3.63
ARPC1B,-0.46,3.62
ARPC2,0.85,3.02
ARPC3,0.74,3.25
ARPC4,1.6,2.52
ARPC5,0.7,3.62
ARPC5L,0.88,3.16
ARPIN,0.75,3.37
ARPP19,-0.65,3.65
ARPP21,0.45,1.73
ARR3,0.64,3.73
ARRB1,0.95,3.02
ARRB2,0.21,2.99
ARRDC1,1.18,3.45
ARRDC1-AS1,0.46,3.2
ARRDC2,1.21,3.38
ARRDC3,1.2,2.86
ARRDC4,0.74,3.3
ARRDC5,0.82,3.53
ARSA,0.76,3.2
ARSB,0.17,3.13
ARSD,1.12,3.35
ARSF,-0.16,3.06
ARSG,0.17,2.79
ARSH,0.72,3.13
ARSI,—,3.34
ARSJ,1.31,3.34
ARSK,1.13,3.03
ART1,-0.05,3.88
ART3,-1.12,3.5
ART4,-1.66,4.07
ART5,1.8,2.23
ARTN,0.58,3.3
ARV1,0.49,2.74
ARVCF,1.31,3.18
ARX,0.84,3.15
AS3MT,3.7,3.25
ASAH1,1.52,3.34
ASAH2,0.92,3.5
ASAH2B,0.77,2.71
ASAP1,0.64,3.35
ASAP2,-0.36,2.12
ASAP3,-0.17,1.71
ASB1,-0.12,3.07
ASB10,-1.6,3.5
ASB11,-0.85,2.9
ASB12,-0.17,2.97
ASB13,-0.97,2.93
ASB14,—,3.13
ASB15,-2.02,2.69
ASB16,-0.87,3.21
ASB16-AS1,-0.39,1.64
ASB17,-1.33,2.99
ASB18,-0.54,3.06
ASB2,0.07,2.84
ASB3,0.41,3.1
ASB4,-0.19,3.14
ASB5,-0.5,3.28
ASB6,-0.8,3.28
ASB7,-0.81,3.07
ASB8,-0.83,3.09
ASB9,-0.44,2.99
ASCC1,-1.18,3.2
ASCC2,-0.29,3.24
ASCC3,-0.85,3.22
ASCL1,-0.99,3.27
ASCL2,0.28,2.71
ASCL3,-0.06,3.57
ASCL4,0.18,3.3
ASCL5,—,3.56
ASDURF,-1.07,3.04
ASF1A,0.25,3.09
ASF1B,-1.17,2.22
ASGR1,0.04,3.37
ASGR2,-1.28,2.94
ASH1L,-1.55,3.47
ASH2L,-1.15,3.78
ASIC1,0.2,2.15
ASIC2,-1.06,3.02
ASIC3,0.04,3.46
ASIC4,0.27,3.2
ASIC5,-0.03,3.4
ASIP,1.38,3.42
ASL,0.7,3.72
ASMT,1.12,3.2
ASMTL,1.05,3.02
ASNS,2.23,—
ASNSD1,—,3.23
ASPA,-1.75,3.91
ASPDH,-0.94,3.26
ASPG,-2.28,3.87
ASPH,1.31,1.51
ASPHD1,-1.71,3.26
ASPHD2,-1,3.28
ASPM,-0.12,2.42
ASPN,-1.13,2.54
ASPRV1,-1.15,3.61
ASPSCR1,1.3,2.44
ASRGL1,-1.37,3.39
ASS1,0.49,2.45
ASTE1,1.35,1.68
ASTL,0.57,3
ASTN1,0.35,3.13
ASTN2,-0.23,3.1
ASXL1,0.05,3.28
ASXL2,0.51,3.18
ASXL3,-2.23,3.24
ASZ1,-1.17,3.41
ATAD1,0.04,0.7
ATAD2,-0.76,2.57
ATAD2B,0.25,3.24
ATAD3A,1.68,3.36
ATAD3B,0.69,2.72
ATAD3C,2.28,2.35
ATAD5,-0.54,3.07
ATAT1,0.51,2.47
ATCAY,0.49,3.28
ATE1,-0.41,3.41
ATF1,-0.52,3.46
ATF2,-0.72,3.44
ATF3,-0.05,3.36
ATF4,-1.21,3.64
ATF5,0.05,3.16
ATF6,-1.25,3.23
ATF6B,-1.54,3.42
ATF7,-0.34,3.22
ATF7IP,-0.73,3.27
ATF7IP2,0.34,3.21
ATG10,-1.59,3.15
ATG101,1.2,3.3
ATG12,-1.29,3.55
ATG13,-1.32,3.08
ATG14,-0.34,3.61
ATG16L1,0.79,3.48
ATG16L2,0.72,3.44
ATG2A,-1,3.53
ATG2B,-0.95,3.26
ATG3,0.87,2.84
ATG4A,-1.35,3.14
ATG4B,-0.18,2.99
ATG4C,-1.16,3.31
ATG4D,-0.7,3.46
ATG5,1.18,3.4
ATG7,0.9,4.1
ATG9A,-1.02,3.19
ATG9B,1.29,3.2
ATIC,0.14,3.27
ATL1,-0.18,3.78
ATL2,0.34,3.45
ATL3,0.59,3.56
ATM,—,2.66
ATMIN,0.84,3.51
ATN1,1.46,2.92
ATOH1,1.41,3.21
ATOH7,0.37,3.35
ATOH8,-0.23,4.15
ATOX1,-0.56,4.15
ATP10A,-1.03,3.61
ATP10B,-1.8,3.69
ATP10D,-1.47,3.78
ATP11A,-1.35,3.3
ATP11AUN,-0.53,4.14
ATP11B,-1.73,3.67
ATP11C,-0.45,3.43
ATP12A,-0.11,3.5
ATP13A1,-0.77,3.56
ATP13A2,-0.7,2.45
ATP13A3,-2.45,3.65
ATP13A4,1.02,3.33
ATP13A5,0.01,2.47
ATP1A1,-1.44,3.05
ATP1A1-AS1,-1.41,3.21
ATP1A2,-1.74,3.41
ATP1A3,-0.13,2.56
ATP1A4,-0.11,2.86
ATP1B1,-2.01,3.48
ATP1B2,-0.2,3.72
ATP1B3,1.28,3.28
ATP1B4,0.94,2.65
ATP23,-0.92,4.21
ATP2A1,0.86,3.04
ATP2A2,0.9,0.09
ATP2A3,-0.65,3.11
ATP2B1,-1.35,3.38
ATP2B2,-2.08,2.97
ATP2B3,-0.88,2.25
ATP2B4,-1.79,3.36
ATP2C1,-1.72,3.07
ATP2C2,-0.08,2.8
ATP4A,-1.65,4.15
ATP4B,-1.57,4.21
ATP5F1A,-1.32,3.3
ATP5F1B,0.12,3.34
ATP5F1C,-0.27,4.16
ATP5F1D,-1.76,4.05
ATP5F1E,-1.08,4.13
ATP5F1EP2,-0.27,3.08
ATP5IF1,2.32,2.97
ATP5MC1,-1.58,3.35
ATP5MC2,-0.96,3.16
ATP5MC3,-1.25,3.2
ATP5ME,-1.68,4.19
ATP5MF,-0.27,4.13
ATP5MG,-2.18,4.2
ATP5MGL,-0.67,3.39
ATP5MJ,-1.69,4.21
ATP5PB,-0.13,3.07
ATP5PD,-1.58,4.12
ATP5PF,-1.59,4.16
ATP5PO,-0.28,4.14
ATP6AP1,0.2,3.2
ATP6AP1L,0.46,2.87
ATP6AP2,-0.1,3
ATP6V0A1,-0.95,-0.01
ATP6V0A2,-2.54,4.06
ATP6V0A4,-0.76,3.4
ATP6V0B,0.56,2.96
ATP6V0C,—,2.74
ATP6V0D1,-0.07,3.1
ATP6V0D2,1.25,3.56
ATP6V0E1,0.18,3.23
ATP6V0E2,—,3.31
ATP6V1A,-0.34,3.17
ATP6V1B1,-0.38,3.28
ATP6V1B2,0.9,2.84
ATP6V1C1,1.2,2.83
ATP6V1C2,1.74,2.43
ATP6V1D,-0.1,2.26
ATP6V1E1,1.55,1.8
ATP6V1E2,0.89,3.04
ATP6V1F,2.86,2.62
ATP6V1FNB,0.34,3.05
ATP6V1G1,1.73,3.1
ATP6V1G2,0.43,2.73
ATP6V1G3,1.05,2.84
ATP6V1H,0.43,3.41
ATP7A,-1.4,4.07
ATP7B,-1.61,4.05
ATP8A1,0.61,3.11
ATP8A2,0.44,3.4
ATP8B1,-0.51,4.04
ATP8B2,1.74,2.26
ATP8B3,2,0.18
ATP8B4,0.04,0.8
ATP9A,-0.09,3.32
ATP9B,-0.89,3.22
ATPAF1,-1.74,4.07
ATPAF2,-1.15,4.07
ATPSCKMT,-2.26,3.91
ATR,-0.69,3.33
ATRAID,-1.23,3.65
ATRIP,-1.37,4.14
ATRN,-0.17,3.32
ATRNL1,0.77,3.08
ATRX,2.52,—
ATXN1,1.18,3.31
ATXN10,1.41,3.29
ATXN1L,1.19,3.49
ATXN2,0.29,3.22
ATXN2L,0.43,3.34
ATXN3,1.87,1.56
ATXN3L,2.01,1.61
ATXN7,2.45,2.27
ATXN7L1,0.13,2.41
ATXN7L2,-1.35,2.91
ATXN7L3,-0.6,2.19
ATXN7L3B,0.72,2.82
ATXN8,0.63,1.53
ATXN8OS,1.32,—
AUH,0.52,3.31
AUNIP,0.55,3.33
AUP1,1.33,1.72
AURKA,-0.39,2.73
AURKAIP1,-0.23,4.06
AURKB,-0.24,2.66
AURKC,-0.17,3.04
AUTS2,-0.41,3.69
AVEN,0.33,3.02
AVIL,-1.22,3.2
AVL9,-1.49,3.05
AVP,1.24,2.48
AVPI1,-0.47,3.23
AVPR1A,-0.58,3.31
AVPR1B,2.5,3.27
AVPR2,0.59,3.39
AWAT1,-1.63,3.54
AWAT2,-1.04,3.98
AXDND1,0.17,3.51
AXIN1,1.24,3.13
AXIN2,0.94,3.51
AXL,2.43,2.94
AZGP1,0.7,2.56
AZI2,1.04,3.22
AZIN1,-0.5,3.08
AZIN2,-0.36,3.74
AZU1,1.41,2.88
B2M,-0.28,1.66
B3GALNT1,-0.62,2.54
B3GALNT2,-0.95,3.08
B3GALT1,0.09,2.9
B3GALT2,0.4,3.07
B3GALT4,-1.57,3.1
B3GALT5,-1.2,3.06
B3GALT5-AS1,2.67,—
B3GALT6,—,2.04
B3GAT1,0.41,2.67
B3GAT2,0.75,2.23
B3GAT3,-1.18,3.08
B3GLCT,-3.86,3.64
B3GNT2,-1.21,4.09
B3GNT3,-0.84,4.04
B3GNT4,-3.55,2.88
B3GNT5,-1.64,4.14
B3GNT6,—,4.15
B3GNT7,0.03,3.41
B3GNT8,-0.45,3.41
B3GNT9,-1.34,2.25
B3GNTL1,-0.03,3.1
B4GALNT1,-3.44,3.62
B4GALNT2,0.51,3.55
B4GALNT3,-0.46,3.91
B4GALNT4,-0.87,3.91
B4GALT1,3.61,3.46
B4GALT2,-1.32,4.19
B4GALT3,0.4,3.45
B4GALT4,1.03,3.49
B4GALT5,0.1,3.47
B4GALT6,0.42,3.32
B4GALT7,0.5,3.55
B4GAT1,1.27,2.7
B9D1,0.94,3.63
B9D2,0.59,3.57
BAALC,0.24,3.46
BAALC-AS2,0.98,3.39
BAAT,1.08,3.55
BABAM1,0.74,3.57
BABAM2,0.43,3.5
BACE1,0.47,3.53
BACE2,0.23,3.27
BACH1,0.1,3.28
BACH2,1.31,3.78
BAD,0.48,2.89
BAG1,2.11,3.21
BAG2,1.11,2.91
BAG3,0.59,3.25
BAG4,1.83,2.76
BAG5,4.51,—
BAG6,0.01,3.2
BAGE,-1.44,2.57
BAGE2,3.02,2.19
BAGE3,-1.38,3.4
BAGE4,1.01,2.82
BAGE5,-0.15,3.01
BAHCC1,-0.24,3.01
BAHD1,—,2.78
BAIAP2,0.2,3.23
BAIAP2L1,1.46,3.42
BAIAP2L2,1.97,3.34
BAIAP3,1.84,1.77
BAK1,-0.46,3.5
BAMBI,3.48,1.39
BANF1,1.33,2.82
BANF2,1,2.96
BANK1,-0.75,3.56
BANP,-0.72,3.52
BAP1,-2.98,3.65
BAP18,-3.51,3.64
BARD1,0.29,3.19
BARGIN,-0.27,3.56
BARHL1,1.11,3.46
BARHL2,1.58,2.98
BARX1,1.25,2.89
BARX2,1.7,2.2
BASP1,-1.5,3.28
BATF,0.61,2.32
BATF2,-1.43,3.37
BATF3,-1.89,3.42
BAX,-0.43,2.95
BAZ1A,0.13,3.37
BAZ1B,0.78,3.01
BAZ2A,-0.84,2.88
BAZ2B,-0.92,3.01
BBC3,-0.02,3.22
BBIP1,—,4.18
BBOF1,-2.04,4.16
BBOX1,3.39,—
BBS1,-0.66,3.08
BBS10,0.15,3.12
BBS12,-2.62,4.19
BBS2,-0.15,3.22
BBS4,-0.99,3.49
BBS5,-2.71,3.65
BBS7,-1.44,3.36
BBS9,0.32,2.28
BBX,-0.54,3.58
BCAM,-1.9,3.54
BCAN,0.82,2.35
BCAP29,-1.04,3.04
BCAP31,1.16,3.21
BCAR1,-1.63,3.29
BCAR3,-1.59,3.35
BCAS1,-1.58,3.38
BCAS2,0.82,3.2
BCAS3,-1.58,3.4
BCAS4,-0.12,2.88
BCAT1,-1.19,3.48
BCAT2,-0.79,3.45
BCCIP,-1.24,3.46
BCDIN3D,-1.82,3.75
BCE1,-0.96,3.51
BCHE,—,1.79
BCKDHA,-2.89,3.86
BCKDHB,-3.42,3.92
BCKDK,-1.1,3.48
BCL10,0.36,3.33
BCL11A,-0.92,3.41
BCL11B,-1.51,3.52
BCL2,0.3,3.59
BCL2A1,1.68,1.63
BCL2L1,-0.07,3.69
BCL2L10,0.39,2.4
BCL2L11,-0.8,4.2
BCL2L12,2.02,2.67
BCL2L13,-1.2,3.19
BCL2L14,2.39,1.36
BCL2L15,0.16,2.23
BCL2L2,-0.4,3.71
BCL3,-0.73,3.4
BCL6,-1.06,3.17
BCL6B,-0.68,3.35
BCL7A,0.22,3.28
BCL7B,-1.42,3.4
BCL7C,-1.57,3.39
BCL9,-1.23,1.92
BCL9L,-1.16,3.29
BCLAF1,-2.53,1.49
BCLAF3,1.74,1.63
BCO1,-0.77,3.25
BCO2,-1.1,3.42
BCOR,-1.4,3.38
BCORL1,0.58,2.97
BCORP1,-1.36,3
BCR,0.32,2.71
BCS1L,0.83,2.97
BDH1,1.2,2.68
BDH2,-2.01,3.46
BDKRB1,0.86,3.03
BDKRB2,1.68,1.73
BDNF,0.97,2.73
BDP1,1.2,2.05
BEAN1,1.43,2.84
BECN1,3.14,0.64
BECN2,-0.53,2.8
BEGAIN,-0.63,2.92
BEND2,2.56,2.13
BEND3,2.03,1.53
BEND4,2.08,1.79
BEND5,1.51,1.84
BEND6,0.9,2.95
BEND7,0.41,3.27
BEST1,—,2.62
BEST2,-0.81,3.11
BEST3,—,3.11
BEST4,—,2.82
BET1,1.42,2.93
BET1L,—,2.74
BEX1,1.15,3.22
BEX2,1.24,2.37
BEX3,-0.93,3.46
BEX4,1.43,2.95
BEX5,-1.46,3.32
BFAR,-0.27,3.28
BFSP1,1.19,3.4
BFSP2,0.99,2.76
BGLAP,-3.42,3.92
BGN,-0.26,3.69
BHLHA15,0.21,1.11
BHLHA9,—,1.32
BHLHB9,-0.61,1.28
BHLHE22,1.31,1.9
BHLHE23,0.55,3.47
BHLHE40,3.07,—
BHLHE41,-3.37,4.18
BHMT,3.05,—
BHMT2,3.22,1.6
BICC1,0.87,3.36
BICD1,1.58,3.14
BICD2,1.25,0.61
BICDL1,0.69,2.19
BICDL2,1.71,2.12
BICRA,2.53,2.39
BICRAL,-1.02,3.43
BID,-0.32,3.62
BIK,-0.28,3.3
BIN1,2.92,2.98
BIN2,1.37,2.96
BIN3,0.81,2.93
BIRC2,0.12,3.13
BIRC3,0.66,2.79
BIRC5,2.6,2.38
BIRC6,-0.26,3.44
BIRC7,-0.75,3
BIRC8,-1.06,3.33
BIVM,-1.63,3.17
BLACE,-1.19,2.42
BLCAP,0.88,3.07
BLID,1.15,3.24
BLK,3.56,1.23
BLM,-2.72,2.87
BLMH,2.58,1.22
BLNK,-0.22,2.77
BLOC1S1,-0.39,3.29
BLOC1S2,-0.43,3.25
BLOC1S3,—,3.1
BLOC1S4,-0.36,3.05
BLOC1S5,1.63,0.97
BLOC1S6,-1.19,3.12
BLVRA,-1.28,3.33
BLVRB,-0.39,2.76
BLZF1,0.19,1.54
BMERB1,0.04,2.77
BMF,0.96,3.32
BMI1,1.22,2.53
BMP1,3.61,3.19
BMP10,0.82,3.54
BMP15,-0.87,3.27
BMP2,-0.48,3.08
BMP2K,0.75,2.76
BMP2KL,3.38,2.52
BMP3,-0.33,3.01
BMP4,0.84,3.16
BMP5,3.2,3.21
BMP6,1.52,3.19
BMP7,0.65,2.57
BMP8A,-0.01,3.14
BMP8B,1.28,1.37
BMPER,0.57,2.85
BMPR1A,1.24,2.53
BMPR1B,1.52,2.67
BMPR2,0.41,3.05
BMS1,2.77,2.02
BMT2,-2.43,4.14
BMX,1.32,3.24
BNC1,-2.31,3.76
BNC2,-0.56,3.81
BNIP1,-1.9,2.98
BNIP2,0.33,3.13
BNIP3,0.26,3.22
BNIP3L,-1.13,3.74
BNIPL,2.66,—
BOC,2.62,0.64
BOD1,2.69,—
BOD1L1,0.72,2.9
BOD1L2,-1.49,3.57
BOK,0.41,—
BOLA1,-1.73,3.79
BOLA2,2.49,2.77
BOLA2B,—,1.91
BOLA3,-1.94,3.43
BOLL,-1.79,3.48
BOP1,-0.65,3.23
BORA,-0.69,3.37
BORCS5,-1.76,3.51
BORCS6,1.26,2.12
BORCS7,3.06,1.75
BORCS8,-0.16,2.04
BPESC1,-0.7,2.66
BPGM,0.26,2.78
BPHL,-3.8,3.85
BPI,0.59,3.16
BPIFA1,1.05,2.5
BPIFA2,0.72,2.58
BPIFA3,0.72,3.04
BPIFA4P,2.18,—
BPIFB1,2.13,2.52
BPIFB2,2.33,2.82
BPIFB3,2.16,2.53
BPIFB4,2.91,1.52
BPIFB6,-0.31,2.63
BPIFC,0.92,1.86
BPNT1,-0.19,3.98
BPNT2,—,3.43
BPTF,-0.24,3.93
BPY2,-3.18,3.53
BPY2B,-0.14,3.27
BPY2C,-0.59,3.27
BRAF,-0.2,3.93
BRAP,-2.27,3.15
BRAT1,2.49,2.58
BRCA1,1.76,2.16
BRCA2,1.13,3.05
BRCC3,-1.25,3.72
BRD1,0.01,2.81
BRD2,-0.23,2.87
BRD3,1.03,1.69
BRD3OS,-3.41,3.89
BRD4,0.02,4.28
BRD7,-0.29,2.87
BRD8,0.24,2.82
BRD9,1.38,2.81
BRDT,—,3.86
BRF1,3.67,1.68
BRF2,2.06,1.69
BRI3,2.14,0.79
BRI3BP,0.37,0.63
BRICD5,1.3,1.21
BRINP1,-0.21,3.34
BRINP2,-0.17,3.34
BRINP3,-1.68,3.31
BRIP1,-0.99,3.6
BRIX1,-0.67,3.42
BRK1,-0.63,2.71
BRMS1,—,2.52
BRMS1L,-2.7,3.37
BROX,1.87,2.79
BRPF1,-0.02,3.27
BRPF3,1.55,2.32
BRS3,0.61,3.23
BRSK1,0.82,3.14
BRSK2,-0.34,2.88
BRWD1,1.09,2.81
BRWD1-AS2,1.29,2.47
BRWD3,-0.34,3.47
BSCL2,0.54,3.38
BSDC1,1.28,3.33
BSG,-1.2,3.09
BSN,1,3.1
BSND,0.44,3.34
BSPH1,-0.02,3.48
BSPRY,0.31,3.48
BST1,-0.52,3.33
BST2,-0.9,3.34
BSX,0.78,2.64
BTAF1,0.98,2.34
BTBD1,1.35,2.96
BTBD10,-1.2,3.4
BTBD11,-0.07,2.37
BTBD16,—,1.91
BTBD17,1.34,0.53
BTBD18,0.25,2.47
BTBD19,0.45,3.06
BTBD2,0.23,3.3
BTBD3,1.47,2.88
BTBD6,0.42,3.13
BTBD7,-0.14,3.72
BTBD8,0.56,2.72
BTBD9,-0.67,2.92
BTC,-0.15,1.14
BTD,0.94,2.58
BTF3,0.67,2.48
BTF3L4,1.14,2.37
BTG1,1.74,1.6
BTG2,2.57,2.17
BTG3,2.43,2.17
BTG4,1.83,1.62
BTK,-1.17,0.23
BTLA,0.16,0.45
BTN1A1,-0.13,2.89
BTN2A1,0.91,3.5
BTN2A2,-0.8,3.55
BTN2A3P,0.01,3.37
BTN3A1,1.2,3.32
BTN3A2,0.27,3.23
BTN3A3,-0.9,2.92
BTNL10,-1.42,3.01
BTNL2,-0.05,0.91
BTNL3,1.73,1.59
BTNL8,0.21,1.12
BTNL9,-2.83,1.11
BTRC,1.83,1.28
BUB1,-1.07,2.74
BUB1B,-3.61,3.01
BUB3,-0.76,3.3
BUD13,-2.59,3.48
BUD23,-2.89,3.37
BUD31,-2.76,3.52
BVES,-0.11,2.45
BVES-AS1,-1.41,3.26
BYSL,-0.45,3.55
BZW1,-0.78,3.1
BZW2,1.73,3.46
C10orf105,-1.21,3.47
C10orf113,-0.64,2.67
C10orf120,0.01,3.12
C10orf126,-0.07,3.01
C10orf53,0.99,3.49
C10orf55,1.18,3.69
C10orf62,1.34,3.61
C10orf67,1.04,3.52
C10orf82,—,3.68
C10orf90,2.08,2.91
C10orf95,0.99,2.98
C11orf1,1.73,2.7
C11orf16,-0.15,3.19
C11orf21,-0.25,3.12
C11orf24,0.62,3.42
C11orf40,-0.38,3.15
C11orf42,-1.03,3.6
C11orf45,2.3,0.44
C11orf49,1.61,1.06
C11orf52,1.32,0.17
C11orf53,1.91,—
C11orf54,1.52,—
C11orf68,1.21,0.26
C11orf71,2.27,1.3
C11orf72,2.8,0.27
C11orf86,1.55,2.68
C11orf87,2.47,—
C11orf91,1.89,0.3
C11orf94,0.73,3.25
C11orf96,-0.77,3.39
C11orf97,0.86,2.44
C11orf98,0.63,1.9
C12orf29,-0.71,3.38
C12orf4,0.08,3.15
C12orf40,1.26,—
C12orf42,-0.32,2.27
C12orf50,1.89,2.51
C12orf54,—,—
C12orf56,0.05,2.99
C12orf57,1.91,0.59
C12orf60,0.94,0.5
C12orf71,0.5,3.07
C12orf74,0.98,1.74
C12orf76,-2.56,3.12
C13orf42,0,1.61
C13orf46,-0.54,2.64
C14orf119,-0.55,3.22
C14orf132,0.85,3.22
C14orf177,-1.45,3.32
C14orf178,0.87,3.16
C14orf28,-0.01,3.44
C14orf93,-0.07,3.24
C15orf32,-0.64,3.37
C15orf39,-0.09,3.53
C15orf40,1.19,3.7
C15orf54,-3.19,3.88
C15orf61,-3.93,3.84
C15orf62,—,3.87
C15orf65,1.58,2.91
C16orf46,-0.19,3.88
C16orf54,-0.18,3.87
C16orf72,-0.23,3.33
C16orf74,-0.22,3.02
C16orf78,-0.4,3.31
C16orf82,—,3.47
C16orf86,0.36,3.49
C16orf87,0.98,3.66
C16orf89,-0.35,4.25
C16orf90,0.22,4.19
C16orf95,0.36,4.09
C16orf96,1.26,2.96
C17orf100,-0.16,2.74
C17orf107,-2.75,3.58
C17orf113,-3.57,3.39
C17orf50,-0.78,3.33
C17orf58,-1.2,3.16
C17orf64,0.9,3.7
C17orf67,-0.14,3.17
C17orf75,1.46,1.31
C17orf77,-0.41,3.2
C17orf78,1.3,3.18
C17orf80,-1.66,3.63
C17orf98,-2.15,3.83
C17orf99,-0.57,3.11
C18orf12,1.04,3.12
C18orf15,0.37,3.19
C18orf21,-1.05,3.05
C18orf25,-0.31,3.06
C18orf32,—,1.46
C18orf63,-1,2.99
C19orf12,1.51,—
C19orf18,-0.08,3.92
C19orf25,-2.43,3.29
C19orf44,-0.36,3.24
C19orf47,-1.25,3.34
C19orf48,-0.41,3.5
C19orf53,-0.42,1.74
C19orf54,-0.31,3.27
C19orf67,-0.47,3.43
C19orf71,-0.26,3.3
C19orf73,-0.22,3.41
C19orf81,-0.49,3.5
C19orf84,-0.56,2.57
C19orf85,—,2.64
C1D,—,3.18
C1GALT1,-2.92,3.69
C1GALT1C1,0.15,3.33
C1GALT1C1L,3.23,3.13
C1orf100,-0.22,2.55
C1orf105,3.6,1.5
C1orf109,0.29,3.09
C1orf112,2.14,0.39
C1orf115,-0.37,2.87
C1orf122,-0.62,2.93
C1orf127,-0.1,2.12
C1orf131,—,3.51
C1orf140,—,3.18
C1orf141,—,3.43
C1orf147,0.53,3.44
C1orf158,2.62,0.98
C1orf159,-1.3,1.98
C1orf162,-1.34,2.9
C1orf167,-1.5,3.14
C1orf174,2.33,3.18
C1orf185,2.36,3.09
C1orf189,—,1.32
C1orf194,0.8,3.55
C1orf198,-0.23,3.54
C1orf21,0.02,3.39
C1orf210,2.45,2.92
C1orf216,3.35,2.59
C1orf220,-1,3.43
C1orf226,1.17,2.89
C1orf43,-0.43,3.3
C1orf50,-0.33,3.05
C1orf52,-1.27,3.59
C1orf53,-0.37,3.35
C1orf54,-0.94,3.49
C1orf74,-0.49,3.46
C1orf87,0.71,3.25
C1orf94,0.31,3.5
C1QA,-3.17,3.17
C1QB,1.67,0.51
C1QBP,-1.65,3.43
C1QC,1.95,2.79
C1QL1,-0.92,3.96
C1QL2,2.42,2.62
C1QL3,-0.47,3.36
C1QL4,-0.64,3.47
C1QTNF1,-0.05,3.12
C1QTNF12,-1.06,3.11
C1QTNF2,—,3.22
C1QTNF3,0.79,3.19
C1QTNF4,-2.51,3.9
C1QTNF5,0.8,3.53
C1QTNF6,0.7,3.53
C1QTNF7,1.33,3.51
C1QTNF8,1.22,3.57
C1QTNF9,-0.17,1.66
